{
    (33, 30): {
        (34, 31),
        (33, 29),
        (30, 30),
        (31, 28),
        (31, 30),
        (35, 30),
        (35, 32),
        (32, 29),
        (31, 29),
        (34, 28),
        (33, 31),
        (33, 28),
        (33, 27),
        (32, 32),
        (32, 30),
        (31, 31),
        (31, 32),
        (35, 31),
        (33, 30),
        (34, 29),
        (33, 33),
        (35, 29),
        (34, 30),
        (35, 28),
        (32, 28),
        (36, 30),
        (34, 32),
        (32, 31),
        (33, 32),
    },
    (9, 43): {
        (9, 45),
        (9, 44),
        (8, 41),
        (8, 45),
        (11, 45),
        (8, 44),
        (6, 43),
        (10, 43),
        (8, 43),
        (10, 44),
        (9, 43),
        (11, 42),
        (9, 40),
        (11, 43),
        (7, 43),
        (7, 45),
        (7, 44),
        (8, 42),
        (9, 41),
        (10, 41),
        (11, 44),
        (10, 42),
        (10, 45),
        (9, 42),
        (12, 43),
        (11, 41),
        (9, 46),
        (7, 41),
        (7, 42),
    },
    (10, 22): {
        (8, 20),
        (10, 25),
        (10, 22),
        (8, 24),
        (9, 24),
        (10, 20),
        (8, 23),
        (12, 23),
        (9, 23),
        (10, 23),
        (11, 20),
        (11, 21),
        (11, 24),
        (9, 20),
        (12, 21),
        (10, 21),
        (9, 22),
        (10, 19),
        (13, 22),
        (12, 20),
        (12, 22),
        (7, 22),
        (8, 22),
        (11, 22),
        (9, 21),
        (12, 24),
        (11, 23),
        (10, 24),
        (8, 21),
    },
    (19, 46): {
        (17, 46),
        (19, 43),
        (19, 44),
        (20, 44),
        (22, 46),
        (18, 48),
        (16, 46),
        (18, 47),
        (20, 47),
        (19, 47),
        (20, 46),
        (20, 48),
        (17, 47),
        (18, 44),
        (19, 49),
        (19, 45),
        (21, 46),
        (20, 45),
        (19, 48),
        (21, 48),
        (17, 44),
        (18, 45),
        (17, 48),
        (21, 45),
        (21, 44),
        (19, 46),
        (21, 47),
        (18, 46),
        (17, 45),
    },
    (32, 17): {
        (32, 16),
        (29, 17),
        (30, 19),
        (31, 15),
        (31, 19),
        (32, 18),
        (32, 19),
        (30, 18),
        (33, 17),
        (31, 17),
        (32, 20),
        (32, 15),
        (32, 17),
        (33, 18),
        (34, 17),
        (30, 16),
